Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
202up,Jun 2020,"Berlin, Berlin, Germany","Business Development, E-Commerce,,",1-10,1,"€1,100,000",Seed,"Sep 20, 2021","€1,100,000",1,—,202up is a B2B (Business-to-Business) E-commerce Platform And E-commerce Software for the Real Estate Market.
MOXI,"Aug 18, 2021","Hanover, Niedersachsen, Germany","Health Care, Social Impact, Software,",1-10,3,"€400,000",Seed,"Dec 31, 2023","€250,000",1,—,MOXI provides a platform for booking and coordinating patient transportation.
Xound,May 2023,"Munich, Bayern, Germany","Artificial Intelligence (AI), SaaS,",1-10,1,"€120,000",Seed,"Jun 6, 2023","€120,000",1,—,"Xound is an AI voice cleaner and background noise remover for content creators, podcasters, YouTubers, and Tiktokers."
AVAILY,Oct 2021,"Duisburg, Nordrhein-Westfalen,","Information Technology, PaaS,,,,",11-50,2,"€250,000",Seed,"Feb 1, 2022","€200,000",3,—,AVAILY is a sustainable platform that enables the realization of all New Work concepts.
Unifai,Oct 2020,"Muenchen, Bayern, Germany","Management Information Systems,,,",1-10,2,"€1,100,000",Seed,"Nov 1, 2021","€900,000",2,—,Unifai offers a SaaS solution to help hospitality providers to digitalize their hotel.
Hezo Sports,2022,"Saarbrücken, Saarland, Germany","E-Commerce, Manufacturing,",1-10,2,"$842,000",Seed,"Sep 1, 2023",—,—,—,"Hezo democratizes shoe manufacturing. For measuring they use an app. After this a 3D shoe model is generated, which is produced by 3D Print"
Liga der Roboter,"Oct 1, 2022","Munich, Bayern, Germany","EdTech, Edutainment, STEM Education",51-100,3,"€355,000",Seed,"Sep 2, 2024","€140,000",—,—,Network No.1 for Robotics Kids’ Clubs in Germany
dealcode AI,"Apr 8, 2021","Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Lead Generation,,,,,,",11-50,3,"$3,017,016",Seed,"Jun 20, 2023","$1,888,000",5,—,End-to-End Sales Automation
Ahead App,2020,"Berlin, Berlin, Germany",E-Learning,1-10,2,"€1,120,000",Seed,"Nov 4, 2022",—,11,3,"Ahead is a personalized pocket coach that provides bite-sized, science-driven tools to boost emotional intelligence."
OWWN,2021,"Berlin, Berlin, Germany","Apps, Banking, Financial Services,,",11-50,4,"€5,000,000",Seed,"Jun 10, 2021","€5,000,000",13,2,OWWN is a banking app that provides a one-stop shop for young adults to manage their finances.
Babiot,2020,"Essen, Nordrhein-Westfalen, Germany","Electronics, Information Technology,,,",11-50,1,"€2,000,000",Seed,"Aug 8, 2022","€2,000,000",3,—,Babiot develops electronics online tools to access control and tracking systems.
florada,"Mar 10, 2021","Hanover, Niedersachsen, Germany","E-Commerce, Information Technology,,",1-10,2,"€685,000",Seed,"Mar 24, 2023","€300,000",—,—,florada is a platform which digitalizes the floral industry by connecting consumers and florists.
VISPA,Aug 2020,"Stuttgart, Baden-Wurttemberg,","Collaboration, Information Technology,",11-50,1,"€1,500,000",Seed,"Nov 17, 2022","€1,500,000",3,—,VISPA is a virtual team collaboration that allows teams to use virtual rooms for successful projects.
Weflow,Jul 2021,"Berlin, Berlin, Germany","Information Technology, SaaS,,,",11-50,2,"$5,900,000",Seed,"Jul 7, 2023","$3,200,000",11,1,"Revenue teams use Weflow to boost productivity, pipeline visibility, forecast accuracy, and Salesforce data hygiene."
instant3Dhub,2021,"Darmstadt, Hessen, Germany","3D Technology, Database, Information Technology,,",1-10,3,"$1,265,000",Seed,"Jul 18, 2023","$1,100,000",—,—,"Ensure next level 3D data automation, efficiency and collaboration with instant3Dhub."
Legal Analytics GmbH,"Aug 1, 2020","Hanover, Niedersachsen, Germany","Information Technology, Legal Tech,",11-50,2,"€400,000",Seed,"Sep 1, 2020","€250,000",—,5,Legal Analytics helps clients check contracts through technology and legal services.
AreaOne,2021,"Berlin, Berlin, Germany","Big Data, Data Integration, Real Estate,,",1-10,2,"€346,000",Seed,"Nov 1, 2021","€250,000",2,—,Matchingmaking for your perfect home
Freshflow,2021,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Food Delivery,,",11-50,2,"€1,700,000",Seed,"Apr 21, 2022","€1,700,000",7,4,Freshflow is harnessing AI to build the food supply chain technology of the future and tackle global food waste.
Chaineducation Labs,2023,"Berlin, Berlin, Germany","Blockchain, Consulting, Continuing Education,,,",1-10,1,"€100,000",Seed,"Mar 15, 2023","€100,000",—,—,Chaineducation Labs provides learning ecosystem that connects learners with industry experts and experience in blockchain technology.
claimd. app,2021,"Freiburg, Baden-Wurttemberg,","Ad Exchange, Ad Network, Ad Server,,,,,,",11-50,1,"$250,000",Seed,"Apr 7, 2022","$250,000",1,—,CLAIMD is re-inventing social media advertising.
3Jguys GmbH,"Apr 14, 2020","Speyer, Rheinland-Pfalz, Germany","Social Media, Social Network,,",11-50,2,"€200,000",Seed,"Oct 1, 2022",—,—,1,"3Jguys provides the stadium community app ArenaFans - the fastest growing vertical social network for fans. Global, x-sports, independent."
Optalio,2020,"Eschborn, Hessen, Germany","Analytics, SaaS, Software",11-50,1,"€175,000",Seed,"Sep 28, 2021","€175,000",—,—,"Optalio is a SaaS and PLM provider for data analysis, process monitoring, and production optimization."
aboutuz,2020,"Feldkirchen, Bayern, Germany","Apps, Lifestyle, Mobile, Social Media",1-10,1,"$632,000",Seed,"Mar 1, 2022","$632,000",1,—,aboutuz is the first network for users to safely share personal details (zero-party data) with brands & people.
flygge,"Oct 21, 2021","Stuttgart, Baden-Wurttemberg,","Information Technology, Mobile Apps,,,",11-50,2,"€200,000",Seed,"Jan 1, 2023",—,—,—,"Flygge builds an open, independent, and global mobility platform for the caravaning industry."
cofenster,2021,"Hamburg, Hamburg, Germany","Music, Software, Video",1-10,1,"$1,782,000",Seed,"Apr 12, 2022","$1,782,000",—,—,cofenster is Germany's leading video software for creating authentic videos in just a few minutes.
Drippies,2021,"Berlin, Berlin, Germany","Blockchain, Fashion, Non-Fungible Token (NFT),",1-10,1,"$250,000",Seed,"Jun 30, 2022","$250,000",1,—,"Drippies, a web3-based fashion and lifestyle platform that integrates technology, community, education, and fashion."
simplyblock,2022,"Teltow, Brandenburg, Germany","Analytics, Data Storage, Database,",1-10,2,"$1,350,000",Seed,"Nov 19, 2024",—,—,—,Simplyblock provides innovative storage orchestration for IO-intensive stateful workloads in Kubernetes.
ApplyZ GmbH I Talk'n'Job,"Sep 9, 2020","Heidelberg, Baden-Wurttemberg,","Human Resources, Information Technology,,,",11-50,2,"€800,000",Seed,"Nov 10, 2020","€800,000",1,12,Talk’n’Job is a 100% voice-driven job application using mobile devices | Conversion Booster
EINBLIQ.IO,Jan 2021,"München, Bayern, Germany","Analytics, Broadcasting, Cloud Data Services,,,,",1-10,5,"$352,195",Seed,"Feb 28, 2023","$50,000",3,2,EINBLIQ.IO helps media companies to reliably deliver excellent video streaming services at lower cost while optimizing for energy efficiency
Gamelight,2022,"Hamburg, Hamburg, Germany","Information Technology, Marketing,",11-50,2,—,Seed,"Sep 4, 2023",—,—,11,Gamelight is the largest Rewarded Marketing Platform for Mobile Games!
United Manufacturing Hub,2021,"Aachen, Nordrhein-Westfalen,","Enterprise Software, Internet of Things,,",11-50,2,—,Seed,"Jan 25, 2024",—,3,3,"SaaS, IaaC, Open-Source"
traide AI,"Sep 26, 2021","Berlin, Berlin, Germany","Artificial Intelligence (AI), Software",1-10,1,—,Seed,"Aug 29, 2023",—,6,3,Remaining international customs processes with state-of-the-art deep learning technology
Top.legal,2020,"Munich, Bayern, Germany","B2B, Legal, Software",11-50,1,—,Seed,"Mar 4, 2022",—,—,—,Top.legal enables sales managers and legal counsel to track the duration of the contracting process.
Mitigant,Jun 2021,"Potsdam, Brandenburg, Germany","Artificial Intelligence (AI), Cloud Computing,,,,",1-10,1,—,Seed,"Dec 14, 2021",—,3,4,"Mitigant provides a Cloud-Native Security Platform that integrates Cloud Attack Emulation, Cloud & Kubernetes Security Posture Management."
NODE Robotics,Oct 2020,"Stuttgart, Baden-Wurttemberg,","Autonomous Vehicles, Industrial Automation,,,,,",11-50,2,—,Seed,"Feb 1, 2022",—,3,1,NODE provides the basis for the widespread use of autonomous mobile robots in production through plug&play software solutions.
desk.ly,Dec 2021,"Osnabrück, Niedersachsen, Germany","Commercial Real Estate, Enterprise Software,",11-50,2,—,Seed,"Sep 11, 2023",—,3,—,"We make everyones place at work one of self-determination, thus increasing satisfaction, productivity and collaboration."
embedded ocean GmbH | Xentara,"Jun 3, 2020","Unterhaching, Bayern, Germany","Industrial Automation, Industrial Manufacturing,,,",11-50,2,—,Seed,"May 14, 2024",—,2,—,The Future of PLC is Software-Defined
Thermosphr,2020,"Berlin, Berlin, Germany","Commercial Real Estate, Energy Efficiency,,,,,,,",11-50,1,—,Seed,"Nov 30, 2021",—,4,1,Energy autopilot for commercial buildings
ramblr.ai,2021,"Pullach Im Isartal, Bayern, Germany","Artificial Intelligence (AI), Augmented Reality,,,",11-50,1,—,Seed,"Dec 13, 2021",—,2,1,Ramblr creates an AI-driven data pipeline to enable next-generation augmented reality.
Metiundo,2021,"Berlin, Berlin, Germany","Analytics, Information Technology,,,,",11-50,2,—,Seed,"Jun 5, 2024",—,2,—,Metiundo develops hardware and software for collecting consumption data of properties.
everyone energy,2021,"Berlin, Berlin, Germany","Energy, Renewable Energy, SaaS,",11-50,1,—,Seed,"May 7, 2024",—,2,2,everyone energy is an automated energy advisory platform that aims to improve the user experience during the energy transition.
Elona Health,2021,"Düsseldorf, Nordrhein-Westfalen,","Apps, Health Care, Medical, Medical Device,",11-50,2,—,Seed,"Nov 1, 2022",—,4,2,Elona Health is a digital health application for therapy support in the treatment of depression.
PatentPlus,2021,"Berlin, Berlin, Germany","Analytics, Information Technology,,,,,,",1-10,2,—,Seed,"May 31, 2022",—,3,4,PatentPlus is a digital B2B marketplace for patented technologies that connects research organizations with corporations and investors.
Uify,2022,"Berlin, Berlin, Germany","Apps, Information Technology,,",1-10,2,—,Seed,"Sep 20, 2022",—,5,—,Uify builds custom apps which are deployed to workspaces with deep collaborative functionality.
Persival,2021,"Ober-ramstadt, Hessen, Germany","Diving, Simulation, Software",11-50,1,—,Seed,"Dec 12, 2024",—,7,—,Persival is a pioneer in the field of realistic sensor simulations.
Partex,2021,"Eschborn, Hessen, Germany","Artificial Intelligence (AI), Biotechnology,,,,",101-250,2,—,Seed,"Jan 9, 2024",—,2,—,Partex NV is the first digital pharma platform that is set to be the largest AI-powered Drug Assets Manager.
Code Dish,2020,"Berlin, Berlin, Germany","Casual Games, Online Games,,",11-50,1,—,Seed,"Jan 1, 2023",—,1,—,Code Dish is a game company that provides mobile games for entertainment purposes.
Sovity,Oct 2021,"Dortmund, Nordrhein-Westfalen,","Big Data, Data Storage, SaaS, Software",11-50,2,—,Seed,"Feb 15, 2023",—,2,—,Sovity is a IDS operating company.
ACE Alternatives,2021,"Berlin, Berlin, Germany","Accounting, Consulting, Financial Services,,,,",11-50,1,—,Seed,"Jun 14, 2024",—,1,11,"ACE Alternatives, is a tech-driven managed services provider for Alternative Assets; fund admin, compliance, tax, accounting, ESG."
CibusCell,2020,"Speyer, Rheinland-Pfalz, Germany","Big Data, Collaboration, Internet of Things,,,,,",11-50,1,—,Seed,"May 9, 2022",—,1,1,CibusCell provides an open Software-as-a-Service (SaaS) platform for climate neutral energy suppliers.
Replique,2020,"Mannheim, Baden-Wurttemberg,","3D Printing, Information Technology,,",11-50,2,—,Seed,"Jun 13, 2024",—,4,7,Replique is an online first fully encrypted 3D printing platform that makes spare part management more sustainable to large OEMs.
Agriportance,"Nov 1, 2020","Münster, Nordrhein-Westfalen,","Energy, Enterprise Resource Planning (ERP),,",11-50,1,—,Seed,"Dec 15, 2022",—,2,—,"SaaS for EU energy certs and trading, Agriportance drives renewables market"
Sawayo,"Apr 2, 2020","Rostock, Mecklenburg-Vorpommern,","Apps, B2B, Compliance, Information Services,,,,,",11-50,2,—,Seed,"May 3, 2023",—,3,2,Sawayo is a company developing a SaaS compliance and workflow automation solution for SMEs.
MANSIO,"Apr 29, 2020","Aachen, Nordrhein-Westfalen,","IT Management, Logistics, SaaS,,",11-50,1,—,Seed,"Feb 19, 2024",—,—,—,SaaS for logistics industry
Yuno,2020,"Berlin, Berlin, Germany","Audio, E-Learning, Edutainment",11-50,1,—,Seed,"Jun 2, 2022",—,4,—,Yuno is an app that enhances their general knowledge by listening to short audio stories.
Zentur.io GmbH,"Aug 27, 2021","Landshut, Bayern, Germany","Data Visualization, Heating, Ventilation, and Air Conditioning (HVAC),,,",1-10,2,—,Seed,"Jun 12, 2024",—,3,1,"SaaS, District Heating"
Noyes technologies,2021,"Munich, Bayern, Germany","Robotics, Warehouse Automation",1-10,1,—,Seed,"Jun 1, 2021",—,3,2,"Noyes Technologies is in the process of automating urban storage areas with a robot-operated, ultra-dense, and micro warehouse."
AI Bots as a Service - a Conversational AI engine by AI BaaS,"Jan 7, 2020","Munich, Bayern, Germany","Artificial Intelligence (AI), Digital Entertainment,,,,,,,,",11-50,2,—,Seed,"Nov 1, 2019",—,—,63,A world-leading Conversational AI engine. Voice assistants powered by AI BaaS.
Elara,2020,"Berlin, Berlin, Germany","Apps, Information Technology,,",11-50,1,—,Seed,"Nov 5, 2020",—,1,2,On a mission to reduce unplanned machine downtime to zero.
promiseQ,2020,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Machine Learning",1-10,2,—,Seed,"Dec 22, 2023",—,6,7,promiseQ offers the exceptional confluence of cutting-edge AI & certified crowd workers.
Swiat,Feb 2022,"Frankfurt, Hessen, Germany","Blockchain, Cryptocurrency, Financial Services,,",1-10,1,—,Seed,"Jan 26, 2023",—,3,20,Swiat is a fintech company that develops blockchain-based financial market infrastructure for regulated financial entities.
Kursinsel,2022,"Berlin, Berlin, Germany","Children, EdTech, Education, Information Technology",1-10,1,—,Seed,"Jun 21, 2023",—,6,—,Where children explore their interests and pursue their passions
AiSupervision,2020,"Mannheim, Baden-Wurttemberg,","Artificial Intelligence (AI), Information Technology,",11-50,1,—,Seed,"May 1, 2022",—,3,—,AiSupervision is an AI-based platform that provides an operating system for factory production lines.
qibb,2020,"Cologne, Nordrhein-Westfalen,","Data Integration, Digital Media,,",11-50,1,—,Seed,"Jan 1, 2020",—,1,—,qibb is an integration platform with built-in toolkit that helps create and develop customized low-code media workflows.
Violet,2021,"Berlin, Berlin, Germany","Decentralized Finance (DeFi),,,",1-10,1,—,Seed,"Apr 5, 2022",—,6,—,Violet is a protocol built on ethereum.
DUKE,2022,"Berlin, Berlin, Germany","Delivery Service, Internet, Logistics,,",1-10,2,—,Seed,"May 17, 2023",—,4,1,The first entirely digital and seamless Car Rental Experience
pivio,"Aug 20, 2024","Düsseldorf, Nordrhein-Westfalen,","Artificial Intelligence (AI), Health Care,,",1-10,1,—,Seed,"Oct 1, 2014",—,3,—,Pivio is a B2B provider of AI-driven solutions tailored for the pet health insurance industry.
Clime,2020,"Berlin, Berlin, Germany","SaaS, Software",11-50,1,—,Seed,"Sep 22, 2021",—,3,12,"SaaS, ClimateTech, B2B2C, CO2-reduction, CO2-compensation"
Cyber Insight,2022,"Leipzig, Sachsen, Germany","Artificial Intelligence (AI), Cyber Security",11-50,1,—,Seed,"Mar 31, 2023",—,1,3,"Cyber Insight - Measure, Manage, Mitigate Cyber Risks"
cloe.ai,2020,"Berlin, Berlin, Germany",Artificial Intelligence (AI),—,1,—,Seed,"Jan 1, 2022",—,1,—,"cloe.ai provides automated, intelligent, and modular damage appraisal and claim assistant."
VIMMO,2020,"Berlin, Berlin, Germany","Real Estate, Virtual Assistant,",1-10,1,—,Seed,"Apr 4, 2022",—,1,—,VIMMO is a SaaS firm developing a disruptive real estate virtual agent ai-Lisa that supercharges sales agents and accelerates performance.
Liquiditeam,2020,"Braunschweig, Niedersachsen,","Information Technology, Software,,",1-10,2,—,Seed,"Dec 2, 2021",—,2,1,"'Your Fans. Your Platform.' Web3 fan engagement solutions for content creators, professional sports clubs, athletes, and more."
GovMind,Jul 2020,"Berlin, Berlin, Germany","Consulting, Government, GovTech,",1-10,2,—,Seed,"May 17, 2022",—,2,—,GovMind is a provider of an intelligence service that systematically captures and structures data on GovTech solutions.
CleoAI,Nov 2022,"Berlin, Berlin, Germany","Artificial Intelligence (AI), B2B,,",1-10,1,—,Seed,"Jan 12, 2023",—,1,2,CleoAI is a B2B knowledge management tool based on generative AI.
byways,2020,"Berlin, Berlin, Germany","Data Visualization, Enterprise Software,",1-10,1,—,Seed,"Aug 6, 2021",—,4,1,byways is a digital dock and yard management system for logistics and supply chain management.
Recovery Cat,Oct 2020,"Berlin, Berlin, Germany","Health Care, Health Diagnostics,",11-50,1,—,Seed,"Feb 1, 2023",—,3,1,Recovery Cat develops software as a medical device that facilitates effective psychiatric care for individuals with severe mental illness.
Erblotse,2020,"Berlin, Berlin, Germany","Family, Financial Services, Information Technology,,",1-10,1,—,Seed,"Oct 27, 2022",—,1,—,Erblotse develops an online tool to manage and process inheritance information.
Tradelite Solutions,2020,"Munich, Bayern, Germany","Financial Services, Information Services,,,",1-10,2,—,Seed,"Sep 1, 2021",—,1,1,Tradelite Solutions is a games platform that designs for enthusiasts of the financial services space.
SMART-iX,"Oct 20, 2020","Stuttgart, Baden-Wurttemberg,","Information Technology, SaaS,",11-50,1,—,Seed,"Sep 28, 2017",—,1,2,SMART-iX is a Smart Living as a Service-Platform
OpenQ,2022,"Berlin, Berlin, Germany","CRM, Information Technology,",1-10,1,—,Seed,"Jun 17, 2024",—,3,—,OpenQ provides a DRM platform to optimize developer relations and engagement for businesses.
LODGEA,"Feb 24, 2021","Munich, Bayern, Germany","Cloud Computing, Developer APIs,,,,,,,,",1-10,1,—,Seed,"Nov 16, 2021",—,2,4,Websitebuilder & Direct Booking & Marketing Engine for Hotels and Vacation Rentals
sinnaptic telemedical solutions,"Mar 1, 2021","Berlin, Berlin, Germany","Health Care, Home Health Care,",1-10,1,—,Seed,"Feb 22, 2023",—,—,—,Full Service Telemedical SaaS Platform
Powercall,2023,"Bad Doberan, Mecklenburg-Vorpommern,","CRM, Direct Sales, SaaS, Sales Automation",1-10,1,—,Seed,"Jul 11, 2024",—,4,—,Powercall is a SaaS company that provides user-oriented sales software and AI-based CRM solutions for efficient performance in direct sales.
Cinference,2021,"Berlin, Berlin, Germany","Biotechnology, Life Science, Machine Learning",11-50,2,—,Seed,"May 16, 2022",—,2,—,"protein engineering, ML, drug development"
Docuply,"Oct 13, 2022","Mannheim, Baden-Wurttemberg,","Biopharma, Document Management,,,",1-10,1,—,Seed,"Nov 30, 2023",—,—,—,The quality management system for pharmaceutical SMEs and start-ups. Ready for immediate use with secure hosting in the EU cloud.
Trana,2020,"Munich, Bayern, Germany","E-Learning, Professional Services,,",1-10,1,—,Seed,"Apr 5, 2021",—,1,—,"Trana offers software for creating digital training courses for corporate customers, partners, or employees."
Unitap,2024,"Monheim, Bayern, Germany","Bitcoin, Cryptocurrency",—,1,—,Seed,"May 22, 2024",—,5,2,UniTap is a decentralized financial platform that primarily offers trustless on-chain token exchange tools.
FinList,"Feb 17, 2021","Berlin, Berlin, Germany","Commercial Real Estate, FinTech,,,,,",1-10,2,—,Seed,"Mar 7, 2022",—,—,16,FinList is a loan software to increase the financing probability of commercial real estate financing projects.
mint future GmbH,Feb 2022,"Osnabrück, Niedersachsen, Germany","Advertising Platforms, Automotive,,,,,,,",1-10,2,—,Seed,"Dec 8, 2023",—,2,—,Sustainable trading of CO2 emissions and related digital solutions
statpile,"Nov 12, 2020","Karlsruhe, Baden-Wurttemberg,","Business Intelligence, SaaS, Software,",1-10,1,—,Seed,"Jul 23, 2021",—,4,—,"statpile complements ERP and WMS with an AI-guided platform, simplifying logistics like Google Maps simplifies navigation."
Infrafon,2021,"Freiburg, Baden-Wurttemberg,","Cloud Security, Security",1-10,2,"€400,000",Seed,"May 2, 2023","€400,000",2,6,Infrafon is creating a 'credit card format smart badge system.'
Finsolio,"Jul 6, 2021","Dresden, Sachsen, Germany","Banking, Consumer Software,,,,,,",1-10,1,—,Seed,"Jun 1, 2022",—,—,—,"SaaS, Fintech, B2B, B2B2C, Dresden, Germany"
Ninebarc,2020,"Berlin, Berlin, Germany","Cloud Data Services, Cloud Security,",1-10,3,—,Seed,"Mar 2, 2023",—,3,1,Ninebarc is a digital estate service that maps digital footprint.
Build.One,2021,"Stuttgart, Baden-Wurttemberg,","UX Design, Web Apps, Web Development",11-50,1,—,Seed,"Oct 1, 2022",—,1,—,"Build.One is a software development company that develops web applications for enterprises, software vendors, agencies, and developers."
TEDIRO,"May 11, 2020","Ilmenau, Thuringen, Germany","Artificial Intelligence (AI), Health Care,,",11-50,4,—,Seed,"Aug 1, 2022",—,6,1,TEDIRO develops a mobile robotics platform for healthcare to support patients and caregivers.
PlayPack,2021,"Berlin, Berlin, Germany","Casual Games, Gaming, Mobile Apps",1-10,1,—,Seed,"Jan 1, 2023",—,2,—,PlayPack is an online gaming company that offers casual and free to play mobile gaming for building social connections.
Lottie,"Nov 4, 2020","Berlin, Berlin, Germany","EdTech, Information Technology,",11-50,2,—,Seed,"Jan 9, 2022",—,4,—,Lottie helps children take their first digital steps in an experience designed with families in mind.
Raquest,2021,"Raubling, Bayern, Germany","Banking, Financial Services, Software",11-50,1,—,Seed,"Feb 15, 2021",—,1,—,Raquest is a software provider that helps banks process foreign withholding taxes digitally.
Kelvin Green,2022,"Berlin, Berlin, Germany","GreenTech, Software, Transportation",1-10,1,—,Seed,"Jan 17, 2024",—,3,—,Kelvin Green is the operating system for heat suppliers' green transformation.
BestCase,"Sep 27, 2023","Munich, Bayern, Germany","Project Management, Software",1-10,1,—,Seed,"Oct 7, 2024",—,1,—,BestCase is a One-stop solution for automated IT project management.
Grocera,"Jan 1, 2022","Munich, Bayern, Germany","E-Commerce, Food and Beverage,,,",1-10,1,—,Seed,"Jun 1, 2023",—,—,—,Same day multi cultural grocery delivery service
MiViA,2022,"Freiberg, Sachsen, Germany","Analytics, Artificial Intelligence (AI)",1-10,1,—,Seed,"Sep 18, 2023",—,1,—,"At MiViA, we offer microstructural analysis for various sectors and applications using cutting-edge AI technology."
Moonblock,2022,"Munich, Bayern, Germany","Software, Web3",1-10,2,—,Seed,"Jan 17, 2023",—,3,—,Moonblock is a tool to navigate Web3 with the right insights with a Web3 brand intelligence platform.
Hintbox,May 2020,"Koblenz, Rheinland-Pfalz, Germany","Information Technology, Internet,",11-50,1,—,Seed,"Jun 1, 2021",—,1,2,Hintbox is a whistleblower system and hinweisgeber system that offer an ombudsman solution.
kitchX,"Mar 23, 2021","Düsseldorf, Nordrhein-Westfalen,","Architecture, Construction, Home Renovation,",11-50,2,—,Seed,"Nov 23, 2022",—,1,—,The world's first conversational commerce home-renovation advisor - making dream homes a reality
spaciv,2020,"München, Bayern, Germany","Apps, Cloud Infrastructure, Virtual Workforce",1-10,1,—,Seed,"Feb 3, 2022",—,1,—,spaciv offers a cloud-based web-application for the dynamic optimizations of office workplace strategies.
AR Technology,2020,"Kühstein, Bayern, Germany","Construction, Industrial Manufacturing,,",1-10,1,—,Seed,"Apr 17, 2023",—,2,—,AR-Technology has set the goal of establishing augmented reality (AR) as an industry standard.
Elevear,2021,"Aachen, Nordrhein-Westfalen,","Apps, Audio, Augmented Reality,",1-10,1,—,Seed,"Jul 24, 2023",—,1,2,We develop breakthrough audio technologies for your hearables.
VAMOS.ai,2020,"Frankfurt, Hessen, Germany","Analytics, Artificial Intelligence (AI),,",11-50,1,—,Seed,"Jan 1, 2020",—,1,—,VAMOS.ai offers video analytics and media optimization services.
Sadaarah,"Oct 17, 2021","Berlin, Berlin, Germany","Business Intelligence, Cloud Data Services,,,",1-10,1,—,Seed,"Feb 1, 2024",—,—,—,"Software company developing easy, reliable, efficient and competitive on-premise and cloud-based data management products and solutions."
Synsor ai,"May 27, 2021","Munich, Bayern, Germany","Artificial Intelligence (AI), Machine Learning,,",1-10,1,—,Seed,"Apr 20, 2022",—,1,—,"Quality inspection for manufacturers - low cost, precise, powered by deep learning"
Deep Care,2020,"Ludwigsburg-eglosheim, Baden-Wurttemberg,","Artificial Intelligence (AI), Intelligent Systems,",11-50,2,—,Seed,"Mar 5, 2024",—,6,—,Deep Care is a seat behavior assistant that offers sitting behavior for office workers.
Leaders of AI,Oct 2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), EdTech,",1-10,1,—,Seed,"Jan 23, 2024",—,—,—,Leaders of AI is an educational platform designed for executives and entrepreneurs to master generative AI technologies for organizations.
Polymetis Apps,"Feb 1, 2022","Kiel, Schleswig-Holstein, Germany","Compliance, Information Technology,,",1-10,1,—,Seed,"Jan 1, 2023",—,1,1,Polymetis Apps is a provider of apps for Atlassian Jira and Confluence.
Traverise,2022,"Herborn, Hessen, Germany","SaaS, Training, Travel Accommodations",1-10,1,—,Seed,"Jun 22, 2022",—,1,—,All-in-One Booking Management Software for SMEs
Phaina,2022,"Bielefeld, Nordrhein-Westfalen,","Artificial Intelligence (AI), SaaS",1-10,1,—,Seed,"Jan 1, 2022",—,1,—,"SaaS, Buying advice improvement, Expert knowledge and AI,"
irisnet AI,2021,"Düsseldorf, Nordrhein-Westfalen,","Artificial Intelligence (AI), Cloud Computing,,",1-10,3,—,Seed,"Nov 3, 2023",—,—,—,Artificial Intelligence (AI) for image- and video-processing in real-time.
PARSER,"Sep 30, 2021","Hamburg, Hamburg, Germany","Analytics, Big Data, Marketing,,",1-10,1,—,Seed,"Dec 1, 2022",—,—,—,PARSER is the smart monitoring and control center for cross-platform social media data.
PosterLab,2020,"Mainz, Rheinland-Pfalz, Germany","Collaboration, Innovation Management,",51-100,3,—,Seed,"Jun 8, 2021",—,3,3,PosterLab provides a cross-organization collaboration platform embedding guidances for partnerships in R&D to succeed.
Volateq,"Nov 13, 2020","Hilden, Nordrhein-Westfalen, Germany","Analytics, Artificial Intelligence (AI),,",11-50,1,—,Seed,"Nov 25, 2022",—,—,—,improving solar plants with drone-base analytics
SynapCon,"Jun 1, 2021","Frankfurt, Hessen, Germany","Clinical Trials, Health Care, Information Technology,,,",11-50,1,—,Seed,"Mar 1, 2023",—,—,—,It is our mission to innovate the clinical trials world through disrupting outdated processes and organizational structures.
x-cardiac,2021,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Big Data,,",1-10,2,—,Seed,"May 24, 2023",—,1,—,x-cardiac has developed artificial intelligence-based systems to prevent life-threatening complications after heart surgery.
Achiefy,"Dec 15, 2021","Leipzig, Sachsen, Germany","Blockchain, Cryptocurrency, Gamification,,,",11-50,1,—,Seed,"Jan 15, 2022",—,—,—,Achiefy is a blockchain platform intended to connect traditional gamers with cryptocurrency.
Nous,2022,"Berlin, Berlin, Germany","Blockchain, Cryptocurrency, Financial Services",1-10,1,—,Seed,"Apr 4, 2022",—,—,—,Nous is a blockchain company.
FOMA,"Feb 1, 2022","Hamburg, Hamburg, Germany","Debt Collections, Embedded Systems,,",11-50,3,—,Seed,"Feb 6, 2023",—,2,2,FOMA is a German platform eco-system for the B2B credit management sector.
Retamo,Apr 2020,"Offenburg, Baden-Wurttemberg,",Software,1-10,1,—,Seed,"Sep 13, 2021",—,1,—,"Retamo enables the monitoring, generation, marketing and evaluation of online customer ratings."
Xpoli,2020,"Nuremberg, Bayern, Germany","Artificial Intelligence (AI), Sales,",1-10,2,—,Seed,"Dec 14, 2021",—,2,—,Xpoli ai based software company that uses sensor technology for passenger transport systems.
Cognote,2020,"Munich, Bayern, Germany","Artificial Intelligence (AI), Health Care,,",1-10,1,—,Seed,"Jun 28, 2022",—,1,—,Cognote is a vertical AI assistant that engages in automating medical documentation for physicians.
